influence,beta,gamma,dt,avgI,cost(s),,,influence,beta,gamma,dt
0.01,0.01,0.05,0.005,0.782942,0.133658,,,,,,
0.1,0.01,0.001,0.005,0.782942,0.138876,,,,,,
0.1,0.01,0.005,0.005,0.782942,0.139973,,,,,,
0.1,0.05,0.001,0.001,0.782942,0.685756,,,,,,
0.1,0.05,0.005,0.001,0.782942,0.697099,,,,,,
0.1,0.05,0.01,0.001,0.782942,0.698087,,,,,,
0.1,0.005,0.005,0.01,0.782941,0.0758753,,,,,,
0.1,0.01,0.01,0.005,0.782941,0.142209,,,,,,
0.1,0.05,0.05,0.001,0.782941,0.69865,,,,,,
0.05,0.05,0.2,0.001,0.78294,0.689228,,,,,,
0.1,0.005,0.01,0.01,0.782939,0.0694253,,,,,,
0.5,0.005,0.2,0.005,0.782939,0.139002,,,,,,
0.05,0.01,0.05,0.005,0.782939,0.13946,,,,,,
0.1,0.05,0.1,0.001,0.782939,0.696758,,,,,,
0.01,0.05,0.4,0.001,0.782937,0.689086,,,,,,
0.1,0.05,0.2,0.001,0.782936,0.697836,,,,,,
0.01,0.005,0.05,0.01,0.782934,0.0693917,,,,,,
0.1,0.01,0.05,0.005,0.782934,0.135336,,,,,,
0.01,0.01,0.1,0.005,0.782934,0.14249,,,,,,
0.05,0.05,0.4,0.001,0.782934,0.696491,,,,,,
0.05,0.005,0.05,0.01,0.78293,0.072833,,,,,,
0.05,0.01,0.1,0.005,0.78293,0.141739,,,,,,
0.1,0.05,0.4,0.001,0.782929,0.697299,,,,,,
0.01,0.005,0.4,0.005,0.782927,0.141144,,,,,,
0.1,0.005,0.05,0.01,0.782926,0.0720189,,,,,,
0.1,0.01,0.1,0.005,0.782926,0.135345,,,,,,
0.3,0.005,0.001,0.01,0.782925,0.06889,,,,,,
0.05,0.005,0.4,0.005,0.782925,0.132136,,,,,,
0.3,0.01,0.001,0.005,0.782925,0.135944,,,,,,
0.3,0.05,0.005,0.001,0.782925,0.670062,,,,,,
0.3,0.05,0.01,0.001,0.782925,0.692318,,,,,,
0.3,0.05,0.001,0.001,0.782925,0.697505,,,,,,
0.3,0.01,0.005,0.005,0.782924,0.141347,,,,,,
0.3,0.005,0.005,0.01,0.782923,0.0669941,,,,,,
0.1,0.005,0.4,0.005,0.782923,0.135105,,,,,,
0.3,0.01,0.01,0.005,0.782923,0.13896,,,,,,
0.3,0.05,0.05,0.001,0.782923,0.696633,,,,,,
0.3,0.005,0.01,0.01,0.782922,0.0678719,,,,,,
0.3,0.05,0.1,0.001,0.782922,0.700162,,,,,,
0.3,0.05,0.2,0.001,0.782919,0.69758,,,,,,
0.01,0.005,0.1,0.01,0.782917,0.0704654,,,,,,
0.01,0.01,0.2,0.005,0.782917,0.142071,,,,,,
0.3,0.01,0.05,0.005,0.782917,0.142856,,,,,,
0.05,0.005,0.1,0.01,0.782914,0.0722854,,,,,,
0.05,0.01,0.2,0.005,0.782914,0.139735,,,,,,
0.3,0.005,0.4,0.005,0.782914,0.140944,,,,,,
0.3,0.05,0.4,0.001,0.782912,0.704582,,,,,,
0.1,0.005,0.1,0.01,0.78291,0.0668963,,,,,,
0.1,0.01,0.2,0.005,0.78291,0.138422,,,,,,
0.3,0.005,0.05,0.01,0.782909,0.0713924,,,,,,
0.3,0.01,0.1,0.005,0.782909,0.145153,,,,,,
0.5,0.01,0.001,0.005,0.782908,0.140843,,,,,,
0.5,0.05,0.001,0.001,0.782908,0.693212,,,,,,
0.5,0.05,0.005,0.001,0.782908,0.695792,,,,,,
0.5,0.005,0.001,0.01,0.782907,0.0729185,,,,,,
0.5,0.01,0.005,0.005,0.782907,0.136001,,,,,,
0.5,0.05,0.01,0.001,0.782907,0.693643,,,,,,
0.5,0.005,0.005,0.01,0.782906,0.070445,,,,,,
0.5,0.01,0.01,0.005,0.782906,0.135755,,,,,,
0.5,0.005,0.4,0.005,0.782906,0.140201,,,,,,
0.5,0.05,0.05,0.001,0.782906,0.700196,,,,,,
0.5,0.005,0.01,0.01,0.782904,0.0685486,,,,,,
0.5,0.05,0.1,0.001,0.782904,0.699673,,,,,,
0.5,0.05,0.2,0.001,0.782901,0.702393,,,,,,
0.5,0.01,0.05,0.005,0.7829,0.140698,,,,,,
0.5,0.05,0.4,0.001,0.782895,0.692659,,,,,,
0.3,0.005,0.1,0.01,0.782892,0.0728721,,,,,,
0.3,0.01,0.2,0.005,0.782892,0.141615,,,,,,
0.5,0.005,0.05,0.01,0.782891,0.0715352,,,,,,
0.5,0.01,0.1,0.005,0.782891,0.137684,,,,,,
0.01,0.001,0.4,0.01,0.782887,0.0671546,,,,,,
0.05,0.001,0.4,0.01,0.782886,0.0672763,,,,,,
0.1,0.001,0.4,0.01,0.782885,0.0673338,,,,,,
0.01,0.005,0.2,0.01,0.782884,0.0670853,,,,,,
0.01,0.01,0.4,0.005,0.782884,0.141628,,,,,,
0.3,0.001,0.4,0.01,0.782882,0.0673471,,,,,,
0.05,0.005,0.2,0.01,0.782881,0.0692376,,,,,,
0.05,0.01,0.4,0.005,0.782881,0.141146,,,,,,
0.5,0.001,0.4,0.01,0.782878,0.0705932,,,,,,
0.1,0.005,0.2,0.01,0.782877,0.0702129,,,,,,
0.1,0.01,0.4,0.005,0.782877,0.134385,,,,,,
0.5,0.005,0.1,0.01,0.782875,0.0723643,,,,,,
0.5,0.01,0.2,0.005,0.782875,0.136632,,,,,,
0.3,0.005,0.2,0.01,0.782859,0.0721613,,,,,,
0.3,0.01,0.4,0.005,0.782859,0.141954,,,,,,
0.5,0.005,0.2,0.01,0.782842,0.0714395,,,,,,
0.5,0.01,0.4,0.005,0.782842,0.139351,,,,,,
0.01,0.005,0.4,0.01,0.782819,0.0676889,,,,,,
0.05,0.005,0.4,0.01,0.782815,0.0693,,,,,,
0.1,0.005,0.4,0.01,0.782811,0.0679417,,,,,,
0.01,0.001,0.1,0.1,0.782798,0.00723158,,,,,,
0.3,0.005,0.4,0.01,0.782794,0.0685856,,,,,,
0.5,0.005,0.4,0.01,0.782776,0.0685859,,,,,,
0.05,0.001,0.4,0.1,0.782586,0.00776341,,,,,,
0.01,0.001,0.2,0.1,0.782475,0.00765751,,,,,,
0.01,0.001,0.4,0.1,0.781494,0.00795128,,,,,,
0.5,0.2,0.01,0.001,0.77935,0.692333,,,,,,
0.5,0.2,0.001,0.001,0.77935,0.692379,,,,,,
0.5,0.2,0.005,0.001,0.77935,0.695245,,,,,,
0.5,0.2,0.05,0.001,0.779349,0.694352,,,,,,
